text,label,source,url,date,topic
วางก้อนน้ำแข็งบนท้ายทอย ช่วยรักษาโรคทางเดินหายใจ โรคหลอดเลือดหัวใจ และปวดเมื่อยตามร่างกาย,1,AFNC OpenData,https://www.antifakenewscenter.com/?p=20940,22/03/2565 09:01:08,ผลิตภัณฑ์สุขภาพ
ESS Help Me ปักหมุด หยุดเหตุ ระบบแจ้งเหตุฉุกเฉินผ่าน Line OA,0,AFNC OpenData,https://www.antifakenewscenter.com/?p=34760,10/04/2566 09:30:28,นโยบายรัฐบาล-ข่าวสาร
มีอาหารเน่าในลำไส้ มีแบคทีเรียอยู่ในลำไส้มาก ทำให้เกิดอาการการติดเชื้อ H.pylori,1,AFNC OpenData,https://www.antifakenewscenter.com/?p=55611,02/05/2567 03:30:43,ผลิตภัณฑ์สุขภาพ
ตลาดหลักทรัพย์ฯ เปิดเพจเฟซบุ๊กปรึกษาการลงทุน SET,1,AFNC OpenData,https://www.antifakenewscenter.com/?p=56282,20/05/2567 09:30:07,การเงิน-หุ้น
เพจเฟซบุ๊กศูนย์ดำรงธรรมกรมการปกครองภัยออนไลน์ รับแจ้งเหตุ-ร้องทุกข์ผ่านเพจ,1,AFNC OpenData,https://www.antifakenewscenter.com/?p=50379,19/11/2566 03:30:28,นโยบายรัฐบาล-ข่าวสาร
กรมการขนส่งทางบกเปิดเพจใหม่ ชื่อ Business 855,1,AFNC OpenData,https://www.antifakenewscenter.com/?p=65478,09/12/2567 09:00:04,นโยบายรัฐบาล-ข่าวสาร
สนามบินสุวรรณภูมิให้จอดรถฟรี ช่วงวันหยุดสงกรานต์ 12 - 18 เม.ย. 66 นี้,0,AFNC OpenData,https://www.antifakenewscenter.com/?p=34916,09/04/2566 06:30:13,นโยบายรัฐบาล-ข่าวสาร
บัญชีไลน์ผู้เชี่ยวชาญในการเทรดหุ้นและวิเคราะห์หุ้นทางการตลาด จากสำนักงาน ก.ล.ต.,1,AFNC OpenData,https://www.antifakenewscenter.com/?p=57968,08/06/2567 06:30:59,การเงิน-หุ้น
"กรมพัฒนาฝีมือแรงงานเปิดรับคนทำงานฝีมือ มีวิดีโอสอนงาน รายได้ 340-3,860 บาท/วัน",1,AFNC OpenData,https://www.antifakenewscenter.com/?p=41619,17/09/2566 07:00:27,นโยบายรัฐบาล-ข่าวสาร
ลดอัตราส่งเงินสมทบผู้ประกันตน ม.40 เหลือร้อยละ 60 นาน 6 เดือน,0,AFNC OpenData,https://www.antifakenewscenter.com/?p=16852,25/12/2564 07:00:00,นโยบายรัฐบาล-ข่าวสาร
"ผู้ประกันตน ม.33 กรอกข้อมูลส่วนตัวผ่าน Google Form เพื่อรับเงินเยียวยา 2,500 บาท",1,AFNC OpenData,https://www.antifakenewscenter.com/?p=11801,07/08/2564 07:30:06,นโยบายรัฐบาล-ข่าวสาร
คนไทยเข้าวนอุทยานและอุทยานแห่งชาติฟรี 3 มิ.ย. 67,0,AFNC OpenData,https://www.antifakenewscenter.com/?p=57563,02/06/2567 09:00:11,นโยบายรัฐบาล-ข่าวสาร
สะพานน้ำยาวที่สุดในประเทศไทย ยกน้ำข้ามถนน จ. สมุทรปราการ ช่วยป้องกันน้ำท่วม,0,AFNC OpenData,https://www.antifakenewscenter.com/?p=38175,25/06/2566 06:30:50,นโยบายรัฐบาล-ข่าวสาร
"ธนาคารกรุงไทย เปิดลงทะเบียนเงินดิจิทัลวอลเล็ต 10,000 บาท รอบใหม่",1,AFNC OpenData,https://www.antifakenewscenter.com/?p=64154,06/11/2567 09:30:33,การเงิน-หุ้น
แคนาดาฟรีวีซ่านักท่องเที่ยวไทย สำหรับคนเคยได้วีซ่าช่วง 10 ปีหรือถือวีซ่าสหรัฐฯ ที่ยังไม่หมดอายุ,0,AFNC OpenData,https://www.antifakenewscenter.com/?p=37745,15/06/2566 03:30:23,นโยบายรัฐบาล-ข่าวสาร
กทม. เตรียมรับน้ำ เตือนชุมชนริมแม่น้ำเจ้าพระยายกของขึ้นที่สูงเนื่องจากระดับน้ำเพิ่มสูงขึ้น,0,AFNC OpenData,https://www.antifakenewscenter.com/?p=63087,09/10/2567 09:00:33,ภัยพิบัติ
แอปฯ D.DOPA บริการงานทะเบียนออนไลน์ ไม่ต้องไปที่ว่าการอำเภอหรือเขต,0,AFNC OpenData,https://www.antifakenewscenter.com/?p=32330,04/02/2566 09:30:13,นโยบายรัฐบาล-ข่าวสาร
น้ำมันสกัดเย็น 11 สหาย ช่วยลดอาการประสาทตาเสื่อม​ โรคต้อลม ต้อหิน​ ต้อกระจก,1,AFNC OpenData,https://www.antifakenewscenter.com/?p=22526,07/05/2565 10:01:11,ผลิตภัณฑ์สุขภาพ
ประเทศไทยเตรียมรับมือแผ่นดินไหว วันที่ 20 พ.ย. 63,1,AFNC OpenData,https://www.antifakenewscenter.com/?p=6997,19/11/2563 09:53:04,ภัยพิบัติ
บขส. แจ้งหยุดเดินรถทุกเส้นทางทั่วประเทศ,1,AFNC OpenData,https://www.antifakenewscenter.com/?p=13230,06/10/2564 04:30:06,นโยบายรัฐบาล-ข่าวสาร
เจ้ากรมสวัสดิการทหารบก ยันปล่อยกู้ตามระเบียบ ไม่มีส่วนเกิน-เงินทอน,0,AFNC OpenData,https://www.antifakenewscenter.com/?p=1965,16/02/2563 09:18:18,นโยบายรัฐบาล-ข่าวสาร
อนุมัติงบกลางฟรีค่าน้ำและค่าไฟสำหรับผู้ประสบภัยน้ำท่วม ในเดือน ก.ย. 67,0,AFNC OpenData,https://www.antifakenewscenter.com/?p=62318,21/09/2567 04:30:41,นโยบายรัฐบาล-ข่าวสาร
กรมสรรพากรให้เจ้าหน้าที่ทักไลน์มาแนะนำขั้นตอนการขอรับเงินคืน หากจ่ายภาษีเกินยอดที่ต้องชำระ,1,AFNC OpenData,https://www.antifakenewscenter.com/?p=26071,18/08/2565 10:00:08,การเงิน-หุ้น
กปน. ลดค่าล้างถังพักน้ำราคาพิเศษ 990 บาท,0,AFNC OpenData,https://www.antifakenewscenter.com/?p=50915,05/12/2566 03:30:34,นโยบายรัฐบาล-ข่าวสาร
"ครม. อนุมัติงบกลาง 5,615 ล้านบาท เพิ่มประสิทธิการจัดการทรัพยากรน้ำเพื่อรองรับสถานการณ์ภัยแล้ง",0,AFNC OpenData,https://www.antifakenewscenter.com/?p=21456,05/04/2565 06:34:03,นโยบายรัฐบาล-ข่าวสาร
ธอส. ยกเลิกให้บริการแอปฯ GHB ALL ตั้งแต่ 7 มิ.ย. 66 เป็นต้นไป,0,AFNC OpenData,https://www.antifakenewscenter.com/?p=36903,25/05/2566 07:30:01,การเงิน-หุ้น
เพจ BKY CPT 35586 ปล่อยสินเชื่อออมสินเงินกู้ฉุกเฉิน,1,AFNC OpenData,https://www.antifakenewscenter.com/?p=35550,27/04/2566 06:30:30,การเงิน-หุ้น
สพฐ. ตัดวิชาศีลธรรมออก อ้างไม่ได้สอบเข้ามหาวิทยาลัย,1,AFNC OpenData,https://www.antifakenewscenter.com/?p=2795,15/03/2563 07:50:58,ผลิตภัณฑ์สุขภาพ
กินข้าวเสร็จไม่ควรดื่มน้ำทันที ควรเว้นระยะ 40 นาที เพราะจะทำให้น้ำย่อยเจือจาง,1,AFNC OpenData,https://www.antifakenewscenter.com/?p=57227,27/05/2567 09:30:51,ผลิตภัณฑ์สุขภาพ
โครงการปุ๋ยคนละครึ่ง สนับสนุนเงินช่วยเหลือเกษตรกรในการซื้อปุ๋ย,0,AFNC OpenData,https://www.antifakenewscenter.com/?p=58506,22/06/2567 04:30:52,นโยบายรัฐบาล-ข่าวสาร
"รัฐบาลอนุมัติให้สิทธิผู้สูงวัยยืมเงินรายละ 30,000 บาท ทั่วประเทศ",0,AFNC OpenData,https://www.antifakenewscenter.com/?p=36495,16/05/2566 04:00:02,นโยบายรัฐบาล-ข่าวสาร
ไปรษณีย์ไทยเปิดสายด่วน 1505 สายตรงบุรุษไปรษณีย์ทั่วประเทศ,0,AFNC OpenData,https://www.antifakenewscenter.com/?p=51633,30/12/2566 03:30:17,นโยบายรัฐบาล-ข่าวสาร
ห้ามใช้สารอะนิลีนในเครื่องสำอาง,0,AFNC OpenData,https://www.antifakenewscenter.com/?p=38933,12/07/2566 04:30:04,ผลิตภัณฑ์สุขภาพ
ธนาคารกรุงไทย ให้บริการกู้เงินผ่านแอปเป๋าตัง,1,AFNC OpenData,https://www.antifakenewscenter.com/?p=11702,01/08/2564 07:00:26,การเงิน-หุ้น
สธ. สั่งเปิดศูนย์ EOC ทุกจังหวัด เพื่อรับมือสถานการณ์โควิด-19,0,AFNC OpenData,https://www.antifakenewscenter.com/?p=7226,07/12/2563 03:37:49,ผลิตภัณฑ์สุขภาพ
อัปเดตชื่อเจ้าของมิเตอร์ เพื่อรักษาสิทธิประโยชน์,0,AFNC OpenData,https://www.antifakenewscenter.com/?p=38080,23/06/2566 09:00:43,นโยบายรัฐบาล-ข่าวสาร
ลงทุนหุ้น AOT ง่าย ๆ ผ่านเพจ Investment Stock Trader,1,AFNC OpenData,https://www.antifakenewscenter.com/?p=39972,07/08/2566 09:00:30,การเงิน-หุ้น
"เปิดให้ลงทุนหุ้นทองคำกับห้างทองคำระดับแนวหน้า เพจ ""ตลาดหุ้นสำหรับผู้สูงวัย""",1,AFNC OpenData,https://www.antifakenewscenter.com/?p=42124,29/09/2566 07:00:11,การเงิน-หุ้น
การรถไฟฯ งดเดินรถในเส้นทางสายเหนือ 4 ขบวน และปรับเปลี่ยนสถานีต้นทาง - ปลายทาง 8 ขบวน เป็นการชั่วคราว,0,AFNC OpenData,https://www.antifakenewscenter.com/?p=13219,06/10/2564 06:00:37,นโยบายรัฐบาล-ข่าวสาร
รัฐบาลเปิดให้โหลดแอปฯ ทางรัฐ ผ่านเว็บไซต์ https://dga-thai.com/,1,AFNC OpenData,https://www.antifakenewscenter.com/?p=60453,04/08/2567 06:12:29,นโยบายรัฐบาล-ข่าวสาร
นักศึกษามหาวิทยาลัยชื่อดังย่านบางซื่อ ติดเชื้อ COVID-19,1,AFNC OpenData,https://www.antifakenewscenter.com/?p=2744,30/03/2563 08:38:09,ผลิตภัณฑ์สุขภาพ
AOT รับสมัครงานผ่านเพจ Mae Fah Luang Chiang Rai Internaional Airport - CEl,1,AFNC OpenData,https://www.antifakenewscenter.com/?p=61398,30/08/2567 03:30:06,นโยบายรัฐบาล-ข่าวสาร
กทม. เตรียมรับมือน้ำท่วมฉับพลัน คาดฝนหนักสุดในเดือน ก.ย. 67,0,AFNC OpenData,https://www.antifakenewscenter.com/?p=61439,31/08/2567 04:30:09,นโยบายรัฐบาล-ข่าวสาร
ไลน์ผู้เชี่ยวชาญด้านการวิเคราะห์ และประเมินความเสี่ยงในการลงทุนของ ก.ล.ต.,1,AFNC OpenData,https://www.antifakenewscenter.com/?p=55559,30/04/2567 08:00:41,การเงิน-หุ้น
กรมการปกครอง ยกเว้น-ลด ค่าธรรมเนียม เกี่ยวกับการทะเบียนและบัตรประจำตัวประชาชน ถึง 30 มิ.ย. 65,0,AFNC OpenData,https://www.antifakenewscenter.com/?p=18968,12/02/2565 06:30:56,นโยบายรัฐบาล-ข่าวสาร
กระทรวงกลาโหมส่งทหารไทยเรียนหลักสูตร รร.นายร้อยรัสเซีย,0,AFNC OpenData,https://www.antifakenewscenter.com/?p=2081,19/02/2563 07:37:58,นโยบายรัฐบาล-ข่าวสาร
ธ.ก.ส. เปิดให้บริการสินเชื่อผ่าน Tiktok @kk1122334441,1,AFNC OpenData,https://www.antifakenewscenter.com/?p=66188,27/12/2567 08:00:05,การเงิน-หุ้น
เตรียมแก้กฎหมายคืนเงินผู้เสียหาย พร้อมเพิ่มโทษโจรออนไลน์,0,AFNC OpenData,https://www.antifakenewscenter.com/?p=60943,17/08/2567 03:30:59,นโยบายรัฐบาล-ข่าวสาร
กรมสุขภาพจิต เปิดให้คำปรึกษาและรับฟังจากจิตอาสา ผ่านแอปพลิเคชัน Sati App,0,AFNC OpenData,https://www.antifakenewscenter.com/?p=37871,18/06/2566 09:00:59,นโยบายรัฐบาล-ข่าวสาร
ออมสินปล่อยสินเชื่อเพื่อคุณ ผ่านเพจฝ่ายสนับสนุน Mymo,1,AFNC OpenData,https://www.antifakenewscenter.com/?p=39280,21/07/2566 04:30:44,การเงิน-หุ้น
"นโยบายครอบครัวอุปถัมภ์ผู้สูงอายุ ช่วยเหลือ 2,000 บาท/ครอบครัว เพื่อดูแลผู้สูงอายุ",0,AFNC OpenData,https://www.antifakenewscenter.com/?p=55224,21/04/2567 09:00:42,นโยบายรัฐบาล-ข่าวสาร
ใช้สิทธิ์ ม33เรารักกัน และเราชนะ ซื้อตั๋วรถโดยสาร บขส. ได้,0,AFNC OpenData,https://www.antifakenewscenter.com/?p=9275,24/03/2564 09:15:02,นโยบายรัฐบาล-ข่าวสาร
แพทย์ทั่วโลกออกเตือน ห้ามรับวัคซีนโควิด-19 เพราะอันตรายต่อร่างกาย,1,AFNC OpenData,https://www.antifakenewscenter.com/?p=10865,18/06/2564 08:00:44,ผลิตภัณฑ์สุขภาพ
ธปท. เปิดมหกรรมไกล่เกลี่ยสินเชื่อเช่าซื้อรถ ผ่านทางออนไลน์,0,AFNC OpenData,https://www.antifakenewscenter.com/?p=10684,06/06/2564 09:50:19,นโยบายรัฐบาล-ข่าวสาร
ไทยเตรียมรับมือพายุ 2 ลูก ในช่วงวันที่ 20 - 25 ก.ย. 65,1,AFNC OpenData,https://www.antifakenewscenter.com/?p=27066,17/09/2565 10:00:21,ภัยพิบัติ
ศบค. แถลงรัฐบาลไม่ผิด ทหารอียิปต์ติดโควิด-19 เป็นความผิดของโรงแรม,1,AFNC OpenData,https://www.antifakenewscenter.com/?p=5642,15/07/2563 06:02:57,นโยบายรัฐบาล-ข่าวสาร
ต้นจักรนารายณ์ ช่วยรักษามะเร็งในมนุษย์ได้,1,AFNC OpenData,https://www.antifakenewscenter.com/?p=9578,10/04/2564 08:50:47,ผลิตภัณฑ์สุขภาพ
เมื่อท้องเสีย ต้องกินยาหยุดถ่ายเพื่อช่วยฆ่าเชื้อ,1,AFNC OpenData,https://www.antifakenewscenter.com/?p=9140,19/03/2564 09:00:32,ผลิตภัณฑ์สุขภาพ
ประกาศพักใช้ใบอนุญาตวิชาชีพครูที่ลงโทษนักเรียนด้วยการตี,0,AFNC OpenData,https://www.antifakenewscenter.com/?p=39783,02/08/2566 06:30:09,นโยบายรัฐบาล-ข่าวสาร
11 โรงพยาบาล เปิดบริการฉีดวัคซีนโควิด-19 ให้ประชาชน ฟรี,1,AFNC OpenData,https://www.antifakenewscenter.com/?p=9318,27/03/2564 08:52:06,นโยบายรัฐบาล-ข่าวสาร
ผู้ติดเชื้อโควิด 19 ที่ไม่มีอาการ ไม่จำเป็นต้องกินยาฟาวิพิราเวียร์,0,AFNC OpenData,https://www.antifakenewscenter.com/?p=19993,28/02/2565 03:02:22,ผลิตภัณฑ์สุขภาพ
ก.ล.ต. ออกเกณฑ์กำกับการให้บริการของผู้ประกอบธุรกิจสินทรัพย์ดิจิทัล ไม่สนับสนุนการใช้สินทรัพย์ดิจิทัลเป็นสื่อกลางชำระค่าสินค้าหรือบริการ,0,AFNC OpenData,https://www.antifakenewscenter.com/?p=21175,29/03/2565 03:00:05,การเงิน-หุ้น
แผ่นดินไหวใกล้ภูเขาไฟปะทุ 18-24 ลูก ส่งผลให้ประเทศไทยได้รับผลกระทบจากสึนามิ,1,AFNC OpenData,https://www.antifakenewscenter.com/?p=12060,20/08/2564 10:30:02,ภัยพิบัติ
กรมการขนส่งทางบก รับทำใบขับขี่ทางออนไลน์ และเรียกเก็บค่าใช้จ่ายตามประเภทของรถ,1,AFNC OpenData,https://www.antifakenewscenter.com/?p=18208,25/01/2565 09:00:59,นโยบายรัฐบาล-ข่าวสาร
กรมเจ้าท่า แจ้งความดำเนินคดีบริษัทฯ เหตุทำน้ำมันดิบค้างท่อรั่วไหลออกสู่ทะเลระยอง,0,AFNC OpenData,https://www.antifakenewscenter.com/?p=18999,13/02/2565 07:30:09,นโยบายรัฐบาล-ข่าวสาร
สำนักงานประกันสังคมเปิดขึ้นทะเบียนและรายงานตัวผู้ประกันตนกรณีว่างงานรูปแบบใหม่ ผ่านระบบออนไลน์,0,AFNC OpenData,https://www.antifakenewscenter.com/?p=18801,09/02/2565 03:00:20,นโยบายรัฐบาล-ข่าวสาร
ไปรษณีย์ไทยปฏิเสธการร้องเรียน เรื่องบริการทุกกรณี และเอาผิดผู้ร้องเรียน,1,AFNC OpenData,https://www.antifakenewscenter.com/?p=30163,12/12/2565 06:30:48,นโยบายรัฐบาล-ข่าวสาร
ตรวจ ATK แล้วผลเป็นบวก เข้ารักษาได้เลย ไม่ต้องตรวจ RT-PCR ซ้ำ,0,AFNC OpenData,https://www.antifakenewscenter.com/?p=18503,03/02/2565 06:30:28,นโยบายรัฐบาล-ข่าวสาร
ตำรวจคุมตัวเด็ก 14 ปี ไปสน.ดินแดง บีบบังคับให้รับสารภาพว่าเป็นผู้ลงมือก่อเหตุยิง คฝ. ในม็อบ 6 ต.ค. 64,1,AFNC OpenData,https://www.antifakenewscenter.com/?p=13390,12/10/2564 04:30:57,ความสงบและความมั่นคง
สธ. จัดโครงการให้ยืมคาร์ซีท นำร่อง 6 รพ.,0,AFNC OpenData,https://www.antifakenewscenter.com/?p=59380,13/07/2567 07:00:22,นโยบายรัฐบาล-ข่าวสาร
เครื่องตรวจวัดออกซิเจนในเลือดที่ปลายนิ้ว ใช้ตรวจหาเชื้อโควิด-19 ในร่างกายได้,1,AFNC OpenData,https://www.antifakenewscenter.com/?p=11382,16/07/2564 10:00:27,ผลิตภัณฑ์สุขภาพ
กสทช. จัดระเบียบซิมโทรศัพท์ ปี 67 ใครถือครองเกิน 6 ซิม ต้องยืนยันตัวตน,0,AFNC OpenData,https://www.antifakenewscenter.com/?p=50876,04/12/2566 04:30:09,นโยบายรัฐบาล-ข่าวสาร
กรมอุทยานแห่งชาติฯ ประกาศเปิดฤดูกาลท่องเที่ยว 3 อุทยานแห่งชาติในทะเลอันดามัน,0,AFNC OpenData,https://www.antifakenewscenter.com/?p=63401,16/10/2567 08:00:15,นโยบายรัฐบาล-ข่าวสาร
ครม. อนุมัติมาตรการลดใช้พลังงาน 20% ในหน่วยงานภาครัฐ,0,AFNC OpenData,https://www.antifakenewscenter.com/?p=21121,27/03/2565 06:32:54,นโยบายรัฐบาล-ข่าวสาร
มหาดไทย ร่วมกับ สธ. จัดทำเว็บไซต์ระบบตรวจสอบการฉีดวัคซีน (หมอพร้อม),0,AFNC OpenData,https://www.antifakenewscenter.com/?p=10867,16/06/2564 09:16:36,นโยบายรัฐบาล-ข่าวสาร
รัฐบาลประกาศเก็บเงินภาษีไม้ยืนต้น,1,AFNC OpenData,https://www.antifakenewscenter.com/?p=50641,26/11/2566 03:30:34,นโยบายรัฐบาล-ข่าวสาร
การประปาส่วนภูมิภาค แจ้งนโยบายช่วยภัยแล้ง ชดเชยหลังคาเรือนละ 500 บาทต่อเดือน,1,AFNC OpenData,https://www.antifakenewscenter.com/?p=53891,17/03/2567 06:30:17,นโยบายรัฐบาล-ข่าวสาร
"กรมพัฒนาธุรกิจการค้ารับสมัครตัวแทนจำหน่าย ไม่สต็อกสินค้า รายได้ 500 - 1,500 บาทต่อวัน",1,AFNC OpenData,https://www.antifakenewscenter.com/?p=32910,18/02/2566 09:00:30,นโยบายรัฐบาล-ข่าวสาร
หญ้าลิ้นงูช่วยยับยั้งการเจริญเติบโตของเซลล์มะเร็งได้,1,AFNC OpenData,https://www.antifakenewscenter.com/?p=21675,12/04/2565 10:30:45,ผลิตภัณฑ์สุขภาพ
"กทม. ส่งถังดับเพลิง 9,000 ถัง แทนถังเก่าใน พท. เสี่ยงสูง",0,AFNC OpenData,https://www.antifakenewscenter.com/?p=38731,07/07/2566 06:30:56,นโยบายรัฐบาล-ข่าวสาร
รพ. ศิริราช งดให้เยี่ยมผู้ป่วยทุกราย ตั้งแต่ 4 ม.ค. 65 เป็นต้นไป,0,AFNC OpenData,https://www.antifakenewscenter.com/?p=17504,06/01/2565 08:30:49,นโยบายรัฐบาล-ข่าวสาร
เปิดแอร์ที่อุณหภูมิสูงพร้อมเปิดพัดลม ประหยัดไฟได้มากกว่าเปิดแอร์ที่อุณหภูมิต่ำ,0,AFNC OpenData,https://www.antifakenewscenter.com/?p=21080,26/03/2565 06:30:00,นโยบายรัฐบาล-ข่าวสาร
น้ำมันเบนซินมีสารระเหย ดูดพิษจากแมลงกัดต่อย หายใน 3-5 นาที,1,AFNC OpenData,https://www.antifakenewscenter.com/?p=5631,14/07/2563 10:49:15,ผลิตภัณฑ์สุขภาพ
รัฐบาลเตรียมขึ้นทะเบียน อย. วัคซีนโควิด 19 สัญชาติไทย 4 ชนิด,0,AFNC OpenData,https://www.antifakenewscenter.com/?p=20446,11/03/2565 03:00:08,นโยบายรัฐบาล-ข่าวสาร
กรมบัญชีกลางแจ้งระบบ CGD มีการอัปเดตใหม่ ข้าราชการต้องอัปเดตให้เป็นข้อมูลล่าสุดผ่านลิงก์,1,AFNC OpenData,https://www.antifakenewscenter.com/?p=55595,01/05/2567 08:00:16,นโยบายรัฐบาล-ข่าวสาร
การคลังลดค่าจดทะเบียนโอน-จำนองอสังหาริมทรัพย์เป็นของขวัญปีใหม่,0,AFNC OpenData,https://www.antifakenewscenter.com/?p=51675,01/01/2567 03:30:56,การเงิน-หุ้น
ดื่มน้ำน้อยเสี่ยงสมองเสื่อม,1,AFNC OpenData,https://www.antifakenewscenter.com/?p=39934,06/08/2566 08:00:23,ผลิตภัณฑ์สุขภาพ
ลดค่าธรรมเนียมทำบัตรประชาชน จดทะเบียนสมรส เปลี่ยนชื่อสกุล เหลือ 1 บาท,0,AFNC OpenData,https://www.antifakenewscenter.com/?p=12739,20/09/2564 09:00:03,นโยบายรัฐบาล-ข่าวสาร
กินอาหารสุกๆ ดิบๆ เสี่ยงพยาธิปอดหนูขึ้นตา ส่งผลตาบอดถาวร,0,AFNC OpenData,https://www.antifakenewscenter.com/?p=18953,12/02/2565 03:00:55,ผลิตภัณฑ์สุขภาพ
"ปตท. ชวนจองหุ้น EV ไทย เริ่มต้นลงทุนเพียง 1,000 บาท ผ่านเพจ Gulf Energy Deverlopment",1,AFNC OpenData,https://www.antifakenewscenter.com/?p=35909,02/05/2566 11:17:13,การเงิน-หุ้น
"กรุงไทย ส่ง SMS ให้ประชาชนเพื่อยื่นรับสิทธิ์สินเชื่อ 60,000 บาท",1,AFNC OpenData,https://www.antifakenewscenter.com/?p=27576,02/10/2565 06:30:01,การเงิน-หุ้น
อาจมียาอันตรายในสารตั้งต้น ‘หัวน้ำหวาน’ ที่ใช้กับเครื่องดื่มสี่คูณร้อย,0,AFNC OpenData,https://www.antifakenewscenter.com/?p=6979,17/11/2563 09:34:27,ผลิตภัณฑ์สุขภาพ
บัญชีไลน์เจ้าหน้าที่สำนักงาน ก.ล.ต. ชักชวนให้ลงทุน,1,AFNC OpenData,https://www.antifakenewscenter.com/?p=56569,25/05/2567 08:00:59,การเงิน-หุ้น
จองคิวผ่านแอปฯ DLT Smart Queue และเว็บไซต์ ต้องยืนยันตัวตนก่อนเข้าระบบจองคิว เริ่ม 1 พ.ย. 67,0,AFNC OpenData,https://www.antifakenewscenter.com/?p=63808,28/10/2567 04:30:39,นโยบายรัฐบาล-ข่าวสาร
ยาแก้โรคจิตจากรพ. ยันฮี ช่วยให้อารมณ์ดีแบบแฮปปี้,1,AFNC OpenData,https://www.antifakenewscenter.com/?p=26552,02/09/2565 03:02:27,ผลิตภัณฑ์สุขภาพ
เชื้อไวรัสโคโรนาทำพิษ ชาวจีนล้มตึงกลางสุวรรณภูมิ,1,AFNC OpenData,https://www.antifakenewscenter.com/?p=1546,29/01/2563 09:49:52,ผลิตภัณฑ์สุขภาพ
พนักงานติดโควิด-19 แล้วต้องกักตัว 14 วัน บริษัทมีสิทธิ์ไม่จ่ายเงินเดือน,1,AFNC OpenData,https://www.antifakenewscenter.com/?p=17375,04/01/2565 09:00:20,ความสงบและความมั่นคง
จ.อุตรดิตถ์ พบผู้ติดเชื้อโควิด-19 ที่แคมป์คนงานก่อสร้างทางเลี่ยงเมือง กว่า 80 ราย และอาจเป็นสายพันธุ์อินเดีย,1,AFNC OpenData,https://www.antifakenewscenter.com/?p=10915,19/06/2564 09:30:12,นโยบายรัฐบาล-ข่าวสาร
กรุงไทย เปิดจุด Walk-in ลงทะเบียนดิจิทัลวอลเล็ตเพิ่ม 900 แห่ง,0,AFNC OpenData,https://www.antifakenewscenter.com/?p=60612,08/08/2567 09:02:37,นโยบายรัฐบาล-ข่าวสาร
ออมสินปล่อยกู้สินเชื่อส่วนบุคคล วงเงิน 10 เท่าของรายได้ ผ่อนนานสูงสุด 7 ปี,1,AFNC OpenData,https://www.antifakenewscenter.com/?p=36180,09/05/2566 04:30:21,การเงิน-หุ้น
สารเคลือบกระทะเทฟลอน เป็นสาเหตุทำให้เกิดโรคมะเร็ง,1,AFNC OpenData,https://www.antifakenewscenter.com/?p=6603,16/10/2563 03:51:57,ผลิตภัณฑ์สุขภาพ
